Timestamp,Where do you like to study?,Gender,Do you prefer to study alone ?,How many Hours do you study in one go ?,Do you prefer snacks while studying ?,In which Block you stay?,Do you prefer to study on Bed or Study table?,Which program are you enrolled in ?,Which department are you in ?,Do you prefer Live Lectures or Recording?,Do you prefer to study with Lec recording or Lec slides?,Score
4/5/2022 22:18:01,Your Room,Male,Alone,2-3 Hrs,Sometimes,Kapila,Study Table,PHD,Electrical Engineering,Both are equally preferable,Recording,
4/5/2022 22:18:30,Your Room,Female,Alone,4-5 Hrs,Sometimes,,Both,Undergraduate,Others,Both are equally preferable,Recording,
4/5/2022 22:19:02,Your Room,Male,Alone,2-3 Hrs,Yes,Ramanuja,Study Table,Undergraduate,Mechanical Engineering,Both are equally preferable,Recording,
4/5/2022 22:22:26,Your Room,Male,Alone,1-2 Hrs,Sometimes,Ramanuja,Study Table,Undergraduate,Artificial Intelligence,Recording,Recording,
4/5/2022 22:25:39,Your Room,Male,Alone,1-2 Hrs,Sometimes,Varahamira,Study Table,Postgraduate,Artificial Intelligence,Both are equally preferable,Slides,
4/5/2022 22:26:05,Academic Block,Male,With a friend,1-2 Hrs,No,Ramanuja,Both,Undergraduate,Chemical Engineering,Both are equally preferable,Slides,
4/5/2022 22:26:25,Your Room,Male,Alone,1-2 Hrs,Sometimes,,Both,Undergraduate,Computer Science,Both are equally preferable,Slides,
4/5/2022 22:31:37,Your Room,Male,Alone,2-3 Hrs,Sometimes,Ramanuja,Bed,Undergraduate,Artificial Intelligence,Recording,Slides,
4/5/2022 22:43:54,Your Room,Female,Alone,1-2 Hrs,No,Aryabhatta,Both,Postgraduate,Computer Science,Both are equally preferable,Recording,
4/5/2022 22:48:20,Your Room,Female,Alone,5-6 Hrs,Yes,Maitreyi,Study Table,PHD,Liberal Arts Department,Live Lectures,Slides,
4/5/2022 22:51:38,Your Room,Male,Alone,3-4 Hrs,Sometimes,Ramanuja,Bed,Undergraduate,Artificial Intelligence,Recording,Recording,
4/5/2022 23:03:52,Your Room,Male,With a friend,1-2 Hrs,No,Ramanuja,Bed,Undergraduate,Chemical Engineering,Recording,Slides,
4/5/2022 23:09:20,Academic Block,Female,Alone,1-2 Hrs,No,Bhaskara,Bed,Postgraduate,Electrical Engineering,Recording,Recording,
4/5/2022 23:23:00,Your Room,Male,Alone,1-2 Hrs,No,Ramanuja,Study Table,Undergraduate,Civil Engineering,Live Lectures,Slides,
4/5/2022 23:28:22,Your Room,Male,Alone,3-4 Hrs,Yes,Vyasa,Both,Undergraduate,Chemical Engineering,Both are equally preferable,Slides,
4/5/2022 23:33:39,,,With a friend,1-2 Hrs,No,,Study Table,Undergraduate,Electrical Engineering,Recording,Slides,
4/5/2022 23:35:36,Academic Block,Male,Alone,2-3 Hrs,Sometimes,Ramanuja,Both,Undergraduate,Chemical Engineering,Live Lectures,Slides,
4/5/2022 23:44:44,Academic Block,Male,Alone,3-4 Hrs,No,Brahmagupta,Study Table,Postgraduate,Bio Engineering,Both are equally preferable,Recording,
4/5/2022 23:46:44,Your Room,Female,Alone,1-2 Hrs,Sometimes,Bhaskara,Both,Undergraduate,Civil Engineering,Recording,Recording,
4/5/2022 23:55:13,Your Room,Female,Alone,3-4 Hrs,Sometimes,,Both,Undergraduate,Mathematics,Both are equally preferable,Slides,
4/5/2022 23:55:19,Your Room,Female,Alone,1-2 Hrs,Sometimes,,Both,Undergraduate,Mathematics,Both are equally preferable,Recording,
4/5/2022 23:58:39,Academic Block,Male,Prefer Group Study,7-8 Hrs,Yes,Kautilya,Both,Undergraduate,Chemical Engineering,Both are equally preferable,Slides,
4/5/2022 23:59:37,Academic Block,Male,Alone,1-2 Hrs,No,Susruta,Study Table,PHD,Mechanical Engineering,Recording,Recording,
4/6/2022 0:03:43,Your Room,Female,Alone,2-3 Hrs,Sometimes,Bhaskara,Study Table,Undergraduate,Mechanical Engineering,Recording,Recording,
4/6/2022 0:16:20,Academic Block,Female,With a friend,2-3 Hrs,Sometimes,Bhaskara,Both,Undergraduate,Artificial Intelligence,Both are equally preferable,Recording,
4/6/2022 0:20:02,Your Room,Male,Alone,1-2 Hrs,Yes,Ramanuja,Study Table,Undergraduate,Material Engineering,Live Lectures,Recording,
4/6/2022 0:26:06,Your Room,Male,Alone,2-3 Hrs,Sometimes,Varahamira,Both,Postgraduate,Physics,,Slides,
4/6/2022 1:19:11,Academic Block,Male,With a friend,1-2 Hrs,No,Ramanuja,Study Table,Undergraduate,Electrical Engineering,Live Lectures,Recording,
4/6/2022 1:21:35,Academic Block,Male,Alone,4-5 Hrs,No,Ramanuja,Study Table,Undergraduate,Mathematics,Live Lectures,Slides,
4/6/2022 1:29:31,Your Room,Male,Alone,1-2 Hrs,No,Brahmagupta,Study Table,Postgraduate,Physics,Recording,Recording,
4/6/2022 2:39:01,Academic Block,Male,Alone,3-4 Hrs,Sometimes,Ramanuja,Study Table,Undergraduate,Computer Science,Recording,Recording,
4/6/2022 4:07:30,Academic Block,Male,Alone,2-3 Hrs,Sometimes,,Both,PHD,Civil Engineering,Live Lectures,Recording,
4/6/2022 4:35:01,Your Room,Female,Prefer Group Study,3-4 Hrs,Sometimes,Gargi,Both,PHD,Material Engineering,Both are equally preferable,Recording,
4/6/2022 6:05:44,Your Room,Male,Alone,4-5 Hrs,No,Ramanuja,Both,Undergraduate,Chemical Engineering,Both are equally preferable,Recording,
4/6/2022 6:18:51,Academic Block,Male,With a friend,1-2 Hrs,No,Ramanuja,Study Table,Undergraduate,Civil Engineering,Live Lectures,Recording,
4/6/2022 7:14:09,Academic Block,Female,Alone,1-2 Hrs,No,Aryabhatta,Bed,PHD,Material Engineering,Recording,Recording,
4/6/2022 8:26:09,Your Room,Male,Alone,2-3 Hrs,Yes,,Study Table,Undergraduate,Others,Both are equally preferable,Recording,
4/6/2022 8:27:24,Your Room,Male,Alone,2-3 Hrs,Sometimes,Ramanuja,Both,Undergraduate,Computer Science,Both are equally preferable,Recording,
